date,mktrf,smb,hml
2010/1/4,0.0169,0.0058,0.0112
2010/1/5,0.0031,-0.006,0.0119
2010/1/6,0.0013,-0.0024,0.0057
2010/1/7,0.004,0.0008,0.0093
2010/1/8,0.0033,0.0039,-0.0001
2010/1/11,0.0013,-0.0012,-0.0025
2010/1/12,-0.01,-0.0017,-0.0129
2010/1/13,0.0085,0.0027,0.003
2010/1/14,0.0024,0.0028,0.0007
2010/1/15,-0.0112,-0.0014,-0.0038
2010/1/19,0.0126,0.0042,-0.0018
2010/1/20,-0.0098,-0.006,0.0025
2010/1/21,-0.0174,0.0039,-0.0107
2010/1/22,-0.0214,0.0057,-0.0082
2010/1/25,0.0037,-0.0019,0.0033
2010/1/26,-0.0045,-0.0009,-0.0049
2010/1/27,0.0053,0.0023,0.0022
2010/1/28,-0.0118,-0.0068,0.0043
2010/1/29,-0.0097,-0.0004,-0.0046
2010/2/1,0.0139,-0.0021,0.0091
2010/2/2,0.0121,-0.0044,0.0061
2010/2/3,-0.0049,0.0011,-0.0035
2010/2/4,-0.0314,-0.0013,-0.0118
2010/2/5,0.0029,-0.0005,0
2010/2/8,-0.0079,0.0005,-0.0035
2010/2/9,0.0133,0.0033,0.0056
2010/2/10,-0.0017,0.0026,0.0032
2010/2/11,0.0113,0.0072,0.0003
2010/2/12,-0.0007,0.0097,0.0015
2010/2/16,0.0175,-0.003,0.0103
2010/2/17,0.0049,0.0012,0.0009
2010/2/18,0.0062,0.001,0
2010/2/19,0.0028,0.0005,0.0047
2010/2/22,-0.0005,-0.0004,0.0059
2010/2/23,-0.0124,0.0028,-0.0091
2010/2/24,0.0094,-0.0036,0.0053
2010/2/25,-0.0013,0.0023,0.0028
2010/2/26,0.0013,-0.0056,0.0039
2010/3/1,0.012,0.0121,0.0005
2010/3/2,0.0032,0.0063,0.0017
2010/3/3,0.0009,0.0016,0.0009
2010/3/4,0.0037,0.001,0.002
2010/3/5,0.0143,0.004,0.0061
2010/3/8,0.0002,0.0008,0.0029
2010/3/9,0.0021,0.0025,-0.0008
2010/3/10,0.0053,0.0005,0.007
2010/3/11,0.0043,-0.0009,-0.0009
2010/3/12,-0.0002,0.0003,-0.0026
2010/3/15,-0.0002,-0.0031,-0.0048
2010/3/16,0.0078,-0.0015,0.0056
2010/3/17,0.0057,0.0005,0.0037
2010/3/18,-0.001,-0.0015,-0.0057
2010/3/19,-0.0062,-0.006,-0.0062
2010/3/22,0.0067,0.0089,0.0001
2010/3/23,0.008,0.0035,0.0033
2010/3/24,-0.006,-0.0065,0.0081
2010/3/25,-0.0026,-0.0048,-0.0025
2010/3/26,0.0006,-0.0009,0.0027
2010/3/29,0.0059,-0.0007,0.0019
2010/3/30,0.0004,0.003,-0.0045
2010/3/31,-0.0036,-0.0052,0.0018
2010/4/1,0.0075,-0.0002,0.0078
2010/4/5,0.0095,0.0104,0.0086
2010/4/6,0.0019,0.0024,0.0046
2010/4/7,-0.0048,0.0021,0.0026
2010/4/8,0.0031,-0.0029,0.0037
2010/4/9,0.0066,-0.0013,0.0018
2010/4/12,0.0023,0.0025,0.0007
2010/4/13,0.0007,0.0015,-0.0005
2010/4/14,0.0124,0.0084,0.0144
2010/4/15,0.0011,0.0059,-0.0002
2010/4/16,-0.0153,0.0083,-0.0186
2010/4/19,0.0028,-0.0086,-0.0005
2010/4/20,0.0088,0.0065,0.0056
2010/4/21,-0.0006,0.0072,0.002
2010/4/22,0.0037,0.0081,0.005
2010/4/23,0.007,0.0034,0.0059
2010/4/26,-0.0043,0.0045,-0.0038
2010/4/27,-0.0234,0.0013,-0.0135
2010/4/28,0.0056,-0.0074,0.0069
2010/4/29,0.0134,0.0046,0.0054
2010/4/30,-0.0172,-0.0097,-0.0086
2010/5/3,0.0136,0.0064,0.0061
2010/5/4,-0.025,-0.0055,-0.0086
2010/5/5,-0.0075,-0.0073,-0.006
2010/5/6,-0.0327,-0.0025,-0.0092
2010/5/7,-0.0175,-0.0132,-0.0048
2010/5/10,0.0447,0.0094,0.0118
2010/5/11,-0.0017,0.0115,-0.0012
2010/5/12,0.0163,0.0147,0.0014
2010/5/13,-0.0112,0.0033,-0.0031
2010/5/14,-0.0192,-0.0026,-0.0078
2010/5/17,0.0011,0.0005,-0.0057
2010/5/18,-0.0141,-0.0022,-0.0097
2010/5/19,-0.0063,-0.0097,0.0005
2010/5/20,-0.0399,-0.0087,-0.0117
2010/5/21,0.0144,-0.0045,0.0156
2010/5/24,-0.0119,0.0033,-0.0091
2010/5/25,-0.0003,-0.0048,0.0056
2010/5/26,-0.0035,0.0083,0.004
2010/5/27,0.0345,0.0064,0.0159
2010/5/28,-0.0118,0.0008,-0.0065
2010/6/1,-0.0189,-0.0107,-0.0155
2010/6/2,0.0263,0.0018,0.0041
2010/6/3,0.0054,0.0069,-0.0029
2010/6/4,-0.0362,-0.0121,-0.0068
2010/6/7,-0.0152,-0.0107,-0.0102
2010/6/8,0.0091,-0.0145,0.0013
2010/6/9,-0.0046,0.0076,-0.002
2010/6/10,0.0295,0.0038,0.0088
2010/6/11,0.0062,0.0094,0.0003
2010/6/14,-0.0006,0.0065,0
